torneo,fecha,date,local,visitante,resultado
Apertura 90,1,19/08/1990,Estudiantes LP,San Lorenzo,1 - 1
Apertura 90,1,19/08/1990,Newell's,Platense,1 - 0
Apertura 90,1,19/08/1990,Boca,Argentinos,3 - 2
Apertura 90,1,19/08/1990,Mandiyú,Huracán,2 - 2
Apertura 90,1,19/08/1990,Racing,Unión SF,2 - 2
Apertura 90,1,19/08/1990,Talleres Cba.,Independiente,1 - 1
Apertura 90,1,19/08/1990,Dep. Español,River,0 - 1
Apertura 90,1,19/08/1990,Ferro,Gimnasia LP,0 - 0
Apertura 90,1,19/09/1990,Lanús,Chaco For Ever,1 - 3
Apertura 90,1,19/09/1990,Vélez,Central,0 - 1
Apertura 90,2,26/08/1990,Ferro,Estudiantes LP,1 - 0
Apertura 90,2,26/08/1990,Gimnasia LP,Vélez,0 - 0
Apertura 90,2,26/08/1990,Central,Dep. Español,2 - 0
Apertura 90,2,26/08/1990,Chaco For Ever,Talleres Cba.,2 - 0
Apertura 90,2,26/08/1990,Independiente,Racing,1 - 1
Apertura 90,2,26/08/1990,Unión SF,Mandiyú,1 - 0
Apertura 90,2,26/08/1990,Huracán,Boca,0 - 2
Apertura 90,2,26/08/1990,Argentinos,Newell's,0 - 0
Apertura 90,2,26/08/1990,Platense,San Lorenzo,1 - 1
Apertura 90,2,11/10/1990,River,Lanús,0 - 0
Apertura 90,3,02/09/1990,Estudiantes LP,Platense,1 - 1
Apertura 90,3,02/09/1990,San Lorenzo,Argentinos,1 - 2
Apertura 90,3,02/09/1990,Newell's,Huracán,1 - 2
Apertura 90,3,02/09/1990,Boca,Unión SF,2 - 0
Apertura 90,3,02/09/1990,Mandiyú,Independiente,1 - 0
Apertura 90,3,02/09/1990,Racing,Chaco For Ever,0 - 0
Apertura 90,3,02/09/1990,Talleres Cba.,River,1 - 2
Apertura 90,3,02/09/1990,Lanús,Central,0 - 2
Apertura 90,3,02/09/1990,Dep. Español,Gimnasia LP,1 - 1
Apertura 90,3,02/09/1990,Vélez,Ferro,1 - 0
Apertura 90,4,09/09/1990,Vélez,Estudiantes LP,2 - 2
Apertura 90,4,09/09/1990,Ferro,Dep. Español,0 - 0
Apertura 90,4,09/09/1990,Gimnasia LP,Lanús,2 - 3
Apertura 90,4,09/09/1990,Central,Talleres Cba.,2 - 1
Apertura 90,4,09/09/1990,River,Racing,1 - 1
Apertura 90,4,09/09/1990,Chaco For Ever,Mandiyú,2 - 0
Apertura 90,4,09/09/1990,Independiente,Boca,1 - 2
Apertura 90,4,09/09/1990,Unión SF,Newell's,1 - 3
Apertura 90,4,09/09/1990,Huracán,San Lorenzo,0 - 0
Apertura 90,4,09/09/1990,Argentinos,Platense,1 - 2
Apertura 90,5,16/09/1990,Estudiantes LP,Argentinos,0 - 1
Apertura 90,5,16/09/1990,Platense,Huracán,0 - 0
Apertura 90,5,16/09/1990,San Lorenzo,Unión SF,2 - 1
Apertura 90,5,16/09/1990,Newell's,Independiente,1 - 0
Apertura 90,5,16/09/1990,Boca,Chaco For Ever,0 - 0
Apertura 90,5,16/09/1990,Mandiyú,River,2 - 1
Apertura 90,5,16/09/1990,Racing,Central,1 - 1
Apertura 90,5,16/09/1990,Talleres Cba.,Gimnasia LP,2 - 1
Apertura 90,5,16/09/1990,Lanús,Ferro,0 - 1
Apertura 90,5,16/09/1990,Dep. Español,Vélez,1 - 1
Apertura 90,6,23/09/1990,Dep. Español,Estudiantes LP,1 - 2
Apertura 90,6,23/09/1990,Vélez,Lanús,2 - 0
Apertura 90,6,23/09/1990,Ferro,Talleres Cba.,4 - 1
Apertura 90,6,23/09/1990,Gimnasia LP,Racing,1 - 1
Apertura 90,6,23/09/1990,Central,Mandiyú,1 - 1
Apertura 90,6,23/09/1990,River,Boca,2 - 0
Apertura 90,6,23/09/1990,Chaco For Ever,Newell's,1 - 5
Apertura 90,6,23/09/1990,Independiente,San Lorenzo,1 - 1
Apertura 90,6,23/09/1990,Unión SF,Platense,1 - 0
Apertura 90,6,23/09/1990,Huracán,Argentinos,3 - 1
Apertura 90,7,30/09/1990,Estudiantes LP,Huracán,1 - 1
Apertura 90,7,30/09/1990,Argentinos,Unión SF,1 - 0
Apertura 90,7,30/09/1990,Platense,Independiente,3 - 1
Apertura 90,7,30/09/1990,San Lorenzo,Chaco For Ever,1 - 0
Apertura 90,7,30/09/1990,Newell's,River,0 - 1
Apertura 90,7,30/09/1990,Boca,Central,1 - 2
Apertura 90,7,30/09/1990,Mandiyú,Gimnasia LP,3 - 0
Apertura 90,7,30/09/1990,Racing,Ferro,0 - 0
Apertura 90,7,30/09/1990,Talleres Cba.,Vélez,1 - 0
Apertura 90,7,30/09/1990,Lanús,Dep. Español,0 - 2
Apertura 90,8,07/10/1990,Unión SF,Huracán,1 - 3
Apertura 90,8,07/10/1990,Chaco For Ever,Platense,1 - 0
Apertura 90,8,08/10/1990,Lanús,Estudiantes LP,0 - 1
Apertura 90,8,08/10/1990,Dep. Español,Talleres Cba.,1 - 2
Apertura 90,8,08/10/1990,Vélez,Racing,1 - 1
Apertura 90,8,08/10/1990,Ferro,Mandiyú,2 - 1
Apertura 90,8,08/10/1990,Gimnasia LP,Boca,0 - 0
Apertura 90,8,08/10/1990,Central,Newell's,3 - 4
Apertura 90,8,08/10/1990,River,San Lorenzo,4 - 0
Apertura 90,8,08/10/1990,Independiente,Argentinos,1 - 1
Apertura 90,9,14/10/1990,Estudiantes LP,Unión SF,1 - 0
Apertura 90,9,14/10/1990,Huracán,Independiente,0 - 1
Apertura 90,9,14/10/1990,Argentinos,Chaco For Ever,1 - 0
Apertura 90,9,14/10/1990,Platense,River,0 - 1
Apertura 90,9,14/10/1990,San Lorenzo,Central,0 - 0
Apertura 90,9,14/10/1990,Newell's,Gimnasia LP,1 - 1
Apertura 90,9,14/10/1990,Boca,Ferro,1 - 1
Apertura 90,9,14/10/1990,Mandiyú,Vélez,0 - 1
Apertura 90,9,14/10/1990,Racing,Dep. Español,2 - 2
Apertura 90,9,14/10/1990,Talleres Cba.,Lanús,2 - 1
Apertura 90,10,19/10/1990,Ferro,Newell's,1 - 1
Apertura 90,10,20/10/1990,Independiente,Unión SF,2 - 2
Apertura 90,10,21/10/1990,Talleres Cba.,Estudiantes LP,1 - 2
Apertura 90,10,21/10/1990,Lanús,Racing,1 - 4
Apertura 90,10,21/10/1990,Dep. Español,Mandiyú,1 - 1
Apertura 90,10,21/10/1990,Vélez,Boca,1 - 1
Apertura 90,10,21/10/1990,Gimnasia LP,San Lorenzo,1 - 0
Apertura 90,10,21/10/1990,Central,Platense,2 - 0
Apertura 90,10,21/10/1990,River,Argentinos,1 - 2
Apertura 90,10,21/10/1990,Chaco For Ever,Huracán,2 - 2
Apertura 90,11,26/10/1990,Newell's,Vélez,1 - 1
Apertura 90,11,28/10/1990,Estudiantes LP,Independiente,1 - 2
Apertura 90,11,28/10/1990,Unión SF,Chaco For Ever,1 - 2
Apertura 90,11,28/10/1990,Huracán,River,0 - 1
Apertura 90,11,28/10/1990,Argentinos,Central,2 - 0
Apertura 90,11,28/10/1990,Platense,Gimnasia LP,0 - 0
Apertura 90,11,28/10/1990,San Lorenzo,Ferro,1 - 1
Apertura 90,11,28/10/1990,Boca,Dep. Español,0 - 1
Apertura 90,11,28/10/1990,Racing,Talleres Cba.,1 - 3
Apertura 90,11,30/10/1990,Mandiyú,Lanús,1 - 1
Apertura 90,12,02/11/1990,Central,Huracán,2 - 0
Apertura 90,12,04/11/1990,Racing,Estudiantes LP,1 - 1
Apertura 90,12,04/11/1990,Talleres Cba.,Mandiyú,2 - 0
Apertura 90,12,04/11/1990,Lanús,Boca,1 - 3
Apertura 90,12,04/11/1990,Dep. Español,Newell's,0 - 2
Apertura 90,12,04/11/1990,Ferro,Platense,2 - 2
Apertura 90,12,04/11/1990,Gimnasia LP,Argentinos,0 - 4
Apertura 90,12,04/11/1990,River,Unión SF,0 - 0
Apertura 90,12,04/11/1990,Chaco For Ever,Independiente,0 - 1
Apertura 90,12,12/12/1990,Vélez,San Lorenzo,0 - 0
Apertura 90,13,09/11/1990,Unión SF,Central,2 - 0
Apertura 90,13,11/11/1990,Estudiantes LP,Chaco For Ever,1 - 0
Apertura 90,13,11/11/1990,Independiente,River,2 - 1
Apertura 90,13,11/11/1990,Huracán,Gimnasia LP,1 - 1
Apertura 90,13,11/11/1990,Argentinos,Ferro,0 - 0
Apertura 90,13,11/11/1990,Platense,Vélez,1 - 5
Apertura 90,13,11/11/1990,San Lorenzo,Dep. Español,2 - 1
Apertura 90,13,11/11/1990,Newell's,Lanús,3 - 1
Apertura 90,13,11/11/1990,Boca,Talleres Cba.,0 - 0
Apertura 90,13,11/11/1990,Mandiyú,Racing,1 - 0
Apertura 90,14,18/11/1990,Mandiyú,Estudiantes LP,0 - 0
Apertura 90,14,18/11/1990,Racing,Boca,0 - 1
Apertura 90,14,18/11/1990,Talleres Cba.,Newell's,0 - 0
Apertura 90,14,18/11/1990,Lanús,San Lorenzo,0 - 0
Apertura 90,14,18/11/1990,Dep. Español,Platense,3 - 1
Apertura 90,14,18/11/1990,Vélez,Argentinos,2 - 2
Apertura 90,14,18/11/1990,Ferro,Huracán,0 - 2
Apertura 90,14,18/11/1990,Gimnasia LP,Unión SF,1 - 1
Apertura 90,14,18/11/1990,Central,Independiente,1 - 0
Apertura 90,14,18/11/1990,River,Chaco For Ever,4 - 1
Apertura 90,15,23/11/1990,Unión SF,Ferro,2 - 3
Apertura 90,15,25/11/1990,Estudiantes LP,River,0 - 2
Apertura 90,15,25/11/1990,Chaco For Ever,Central,2 - 3
Apertura 90,15,25/11/1990,Independiente,Gimnasia LP,1 - 1
Apertura 90,15,25/11/1990,Huracán,Vélez,1 - 2
Apertura 90,15,25/11/1990,Argentinos,Dep. Español,2 - 0
Apertura 90,15,25/11/1990,Platense,Lanús,0 - 1
Apertura 90,15,25/11/1990,San Lorenzo,Talleres Cba.,2 - 0
Apertura 90,15,25/11/1990,Newell's,Racing,2 - 0
Apertura 90,15,25/11/1990,Boca,Mandiyú,2 - 2
Apertura 90,16,30/11/1990,Mandiyú,Newell's,0 - 1
Apertura 90,16,30/11/1990,Racing,San Lorenzo,2 - 1
Apertura 90,16,30/11/1990,Talleres Cba.,Platense,0 - 2
Apertura 90,16,30/11/1990,Lanús,Argentinos,1 - 0
Apertura 90,16,30/11/1990,Vélez,Unión SF,1 - 0
Apertura 90,16,30/11/1990,Ferro,Independiente,1 - 0
Apertura 90,16,30/11/1990,Gimnasia LP,Chaco For Ever,4 - 0
Apertura 90,16,30/11/1990,Central,River,2 - 2
Apertura 90,16,01/12/1990,Boca,Estudiantes LP,0 - 0
Apertura 90,16,01/12/1990,Dep. Español,Huracán,1 - 1
Apertura 90,17,07/12/1990,Estudiantes LP,Central,3 - 1
Apertura 90,17,07/12/1990,River,Gimnasia LP,1 - 0
Apertura 90,17,07/12/1990,Chaco For Ever,Ferro,1 - 1
Apertura 90,17,07/12/1990,Independiente,Vélez,3 - 4
Apertura 90,17,07/12/1990,Unión SF,Dep. Español,2 - 1
Apertura 90,17,07/12/1990,Argentinos,Talleres Cba.,0 - 1
Apertura 90,17,07/12/1990,Platense,Racing,0 - 0
Apertura 90,17,07/12/1990,San Lorenzo,Mandiyú,1 - 1
Apertura 90,17,07/12/1990,Newell's,Boca,1 - 0
Apertura 90,17,09/12/1990,Huracán,Lanús,0 - 0
Apertura 90,18,14/12/1990,Newell's,Estudiantes LP,2 - 0
Apertura 90,18,14/12/1990,Boca,San Lorenzo,0 - 1
Apertura 90,18,14/12/1990,Mandiyú,Platense,1 - 2
Apertura 90,18,14/12/1990,Racing,Argentinos,2 - 2
Apertura 90,18,14/12/1990,Talleres Cba.,Huracán,1 - 2
Apertura 90,18,14/12/1990,Lanús,Unión SF,0 - 0
Apertura 90,18,14/12/1990,Dep. Español,Independiente,0 - 2
Apertura 90,18,14/12/1990,Vélez,Chaco For Ever,1 - 2
Apertura 90,18,14/12/1990,Ferro,River,0 - 3
Apertura 90,18,14/12/1990,Gimnasia LP,Central,1 - 1
Apertura 90,19,21/12/1990,Chaco For Ever,Dep. Español,0 - 2
Apertura 90,19,21/12/1990,Argentinos,Mandiyú,1 - 0
Apertura 90,19,22/12/1990,Estudiantes LP,Gimnasia LP,0 - 0
Apertura 90,19,22/12/1990,Central,Ferro,0 - 1
Apertura 90,19,22/12/1990,River,Vélez,1 - 2
Apertura 90,19,22/12/1990,Independiente,Lanús,1 - 0
Apertura 90,19,22/12/1990,Unión SF,Talleres Cba.,4 - 4
Apertura 90,19,22/12/1990,Huracán,Racing,0 - 0
Apertura 90,19,22/12/1990,Platense,Boca,1 - 0
Apertura 90,19,22/12/1990,San Lorenzo,Newell's,1 - 1
Clausura 91,1,22/02/1991,Unión SF,Racing,3 - 1
Clausura 91,1,22/02/1991,Central,Vélez,1 - 1
Clausura 91,1,24/02/1991,San Lorenzo,Estudiantes LP,2 - 1
Clausura 91,1,24/02/1991,Platense,Newell's,0 - 2
Clausura 91,1,24/02/1991,Argentinos,Boca,1 - 3
Clausura 91,1,24/02/1991,Huracán,Mandiyú,0 - 2
Clausura 91,1,24/02/1991,Independiente,Talleres Cba.,2 - 1
Clausura 91,1,24/02/1991,Chaco For Ever,Lanús,1 - 3
Clausura 91,1,24/02/1991,River,Dep. Español,1 - 0
Clausura 91,1,24/02/1991,Gimnasia LP,Ferro,1 - 1
Clausura 91,2,03/03/1991,Estudiantes LP,Ferro,1 - 0
Clausura 91,2,03/03/1991,Vélez,Gimnasia LP,3 - 1
Clausura 91,2,03/03/1991,Dep. Español,Central,2 - 2
Clausura 91,2,03/03/1991,Lanús,River,1 - 1
Clausura 91,2,03/03/1991,Talleres Cba.,Chaco For Ever,2 - 1
Clausura 91,2,03/03/1991,Racing,Independiente,0 - 0
Clausura 91,2,03/03/1991,Mandiyú,Unión SF,2 - 0
Clausura 91,2,03/03/1991,Boca,Huracán,2 - 0
Clausura 91,2,03/03/1991,Newell's,Argentinos,3 - 1
Clausura 91,2,03/03/1991,San Lorenzo,Platense,0 - 0
Clausura 91,3,08/03/1991,Unión SF,Boca,0 - 4
Clausura 91,3,10/03/1991,Platense,Estudiantes LP,1 - 0
